date,files,code,comments,blanks,tests,openIssues,closedIssues,expertises
2021-07-03,6,239,61,40,0,0,0,0
2021-07-04,6,405,62,84,0,0,0,0
2021-07-05,6,469,67,94,0,0,0,0
2021-07-06,6,477,68,97,0,0,0,0
2021-07-07,6,539,63,82,0,0,0,0
2021-07-10,6,549,63,83,0,0,0,0
2021-07-15,6,557,70,87,0,0,0,0
2021-07-16,6,559,71,87,0,0,0,0
2021-07-17,9,908,131,134,0,0,0,0
2021-07-18,9,945,116,110,0,0,0,0
2021-07-19,9,966,111,110,0,0,0,0
2021-07-20,9,976,111,110,0,0,0,0
2021-07-21,9,991,111,111,0,0,0,0
2021-07-23,9,984,125,114,0,0,0,0
2021-07-24,9,1009,117,115,0,0,0,0
2021-07-25,9,1022,148,126,0,0,0,0
2021-08-01,11,1054,150,128,0,0,0,0
2021-08-02,11,1045,154,136,0,0,0,0
2021-08-07,11,1049,153,136,0,0,0,0
2021-08-08,11,1084,155,136,0,0,0,0
2021-08-09,11,1072,155,145,0,0,0,0
2021-08-14,11,1106,158,153,0,0,0,0
2021-08-15,11,1115,160,139,0,0,0,0
2021-08-16,11,1543,188,190,0,0,0,0
2021-08-17,11,1539,195,186,0,0,0,0
2021-10-03,13,1374,177,166,0,0,0,0
2021-12-09,13,1358,179,166,0,0,0,0
2021-12-11,14,1392,174,171,0,0,0,0
2021-12-12,14,1415,174,171,0,0,0,0
2021-12-17,14,1424,175,170,0,0,0,0
2021-12-19,14,1464,176,177,0,0,0,0
2021-12-20,14,1472,185,181,0,0,0,0
2021-12-21,14,1475,180,182,0,0,0,0
2021-12-22,14,1481,184,183,0,0,0,0
2021-12-23,15,1501,208,187,0,0,0,0
2021-12-24,16,1517,192,196,0,0,0,0
2021-12-25,17,1527,199,198,0,0,0,0
2021-12-26,17,1598,211,202,0,0,0,0
2021-12-28,18,1604,222,209,0,0,0,0
2021-12-29,19,1594,218,210,0,0,0,0
2021-12-30,20,1624,264,217,0,0,0,0
2021-12-31,23,1702,266,241,0,0,0,0
2022-01-01,23,1701,267,241,0,0,0,0
2022-01-03,23,1733,258,230,0,0,0,0
2022-01-04,23,1733,258,230,0,0,0,0
2022-01-05,25,1759,281,253,0,0,0,0
2022-01-06,25,1787,279,254,0,0,0,0
2022-01-07,27,1875,307,267,0,0,0,0
2022-01-08,27,1934,309,275,0,0,0,0
2022-01-14,29,1975,314,278,0,0,0,0
2022-01-15,30,2239,385,303,0,0,0,0
2022-01-16,29,2242,359,314,0,0,0,0
2022-01-17,29,2203,409,305,0,0,0,0
2022-01-18,29,2203,357,302,0,0,0,0
2022-01-23,29,2285,356,308,0,0,0,0
2022-01-24,29,2319,354,303,0,0,0,0
2022-01-25,29,2360,361,304,0,0,0,0
2022-01-26,29,2360,361,304,0,0,0,0
2022-01-27,29,2362,361,304,0,0,0,0
2022-01-28,29,2364,361,304,0,0,0,0
2022-01-29,27,2071,339,276,0,0,0,0
2022-03-06,30,2306,406,312,0,0,0,0
2022-03-07,30,2313,406,312,0,0,0,0
2022-03-08,30,2324,396,313,0,0,0,0
2022-03-12,30,2347,392,314,0,0,0,0
2022-03-13,30,2350,392,315,0,0,0,0
2022-03-17,31,2380,391,319,0,0,0,0
2022-03-24,31,2394,393,322,0,0,0,0
2022-03-25,31,2404,396,326,0,0,0,0
2022-03-26,33,2518,419,340,0,0,0,0
2022-03-27,33,2533,413,341,0,0,0,0
2022-03-28,33,2536,410,338,0,0,0,0
2022-03-31,33,2580,410,341,0,0,0,0
2022-04-01,33,2582,410,341,0,0,0,0
2022-04-02,35,2677,423,350,0,0,0,0
2022-04-03,35,2692,423,350,0,0,0,0
2022-04-04,36,2707,429,353,0,0,0,0
2022-04-05,36,2715,426,355,0,0,0,0
2022-04-10,33,2730,439,357,0,0,0,0
2022-04-12,33,2762,439,357,0,0,0,0
2022-04-17,36,2730,439,357,0,0,0,0
2022-04-18,37,3084,445,362,0,0,0,0
2022-04-21,37,3101,445,362,0,0,0,0
2022-04-23,36,2961,439,363,0,0,0,0
2022-04-24,36,2941,439,364,0,0,0,0
2022-04-27,36,2952,439,361,0,0,0,0
2022-05-01,36,2937,400,367,0,0,0,0
2022-05-05,36,2927,399,365,0,0,0,0
2022-05-07,36,2955,399,365,0,0,0,0
2022-05-08,36,2931,399,364,0,0,0,0
2022-05-09,36,2932,403,365,0,0,0,0
2022-05-17,36,2940,403,367,0,0,0,0
2022-05-19,36,2952,407,368,0,0,0,0
2022-05-20,36,2949,404,368,0,0,0,0
2022-05-21,36,2949,404,368,0,0,0,0
2022-05-26,37,3014,411,374,0,0,0,0
2022-05-28,36,3023,417,377,0,0,0,0
2022-08-08,39,3079,423,384,0,3,4,0
2022-08-12,39,3083,423,384,0,3,6,0
2022-08-14,39,3084,423,384,0,2,7,0
2022-09-04,39,3104,423,382,0,4,10,0
2022-09-08,39,3123,422,385,0,3,12,0
2022-09-10,39,3135,422,386,0,3,14,0
2022-09-11,39,3163,423,387,0,3,14,0
2022-09-17,39,3069,423,381,0,6,17,0
2022-09-19,39,3069,423,381,0,6,19,0
2022-09-20,39,3161,449,389,0,6,20,0
2022-09-25,39,3185,459,388,0,6,24,0
2022-10-08,39,3297,457,403,0,11,31,0
2022-10-12,39,3302,458,403,0,13,31,0
2022-10-23,39,3319,458,403,0,13,35,0
2022-11-27,39,3221,413,384,0,14,37,0
2022-12-04,39,3273,428,378,0,14,37,0
2022-12-05,39,3282,428,379,0,16,39,0
2022-12-08,39,3249,434,381,0,16,42,0
2022-12-09,39,3255,434,381,0,15,43,0
2022-12-13,39,3238,436,380,0,16,47,0
2022-12-15,39,3244,436,381,0,17,47,0
2022-12-17,40,3243,434,383,0,16,48,0
2022-12-18,40,3260,434,383,0,14,50,0
2022-12-19,40,3262,435,383,0,15,50,0
2022-12-21,40,3275,434,383,0,15,50,0
2022-12-22,40,3281,434,385,0,14,52,0
2022-12-23,40,3278,436,387,0,14,52,0
2022-12-24,43,3339,455,398,0,13,58,0
2022-12-25,43,3410,475,411,0,13,58,0
2022-12-27,50,3464,518,432,0,13,59,0
2022-12-28,50,3400,488,410,0,13,61,0
2023-01-03,50,3427,485,413,0,13,68,0
2023-01-04,50,3449,486,415,0,13,68,0
2023-01-10,51,3457,492,418,0,14,70,0
2023-01-11,51,3460,492,418,0,15,71,0
2023-01-12,51,3504,508,434,0,16,71,0
2023-01-18,51,3512,509,438,0,18,71,0
2023-01-21,51,3515,511,438,0,18,71,0
2023-01-22,51,3539,511,443,0,17,72,0
2023-01-24,51,3545,508,443,0,17,72,0
2023-01-26,51,3534,508,443,0,18,72,0
2023-01-28,51,3564,510,447,0,18,72,0
2023-02-05,51,3646,526,468,0,19,75,0
2023-02-08,51,3656,527,468,0,19,78,0
2023-02-11,51,3697,529,470,0,22,78,0
2023-02-14,51,3700,529,470,0,22,79,0
2023-02-15,51,3707,529,470,0,21,81,0
2023-02-17,52,3707,540,475,0,23,81,0
2023-02-18,52,3716,544,475,0,21,84,0
2023-02-19,52,3724,544,476,0,21,86,0
2023-02-20,52,3726,544,476,0,21,86,0
2023-02-22,52,3726,544,477,0,21,87,0
2023-02-26,52,3746,549,489,0,24,88,0
2023-03-04,52,3750,562,489,0,24,88,0
2023-03-05,53,3778,564,484,0,22,91,0
2023-03-06,53,3809,570,483,0,22,91,0
2023-03-07,53,3823,564,485,0,22,92,0
2023-03-11,53,3853,564,482,0,21,95,0
2023-03-12,53,3865,564,485,0,22,97,0
2023-03-19,56,3889,564,487,0,23,98,0
2023-03-21,56,3889,564,487,0,23,98,0
2023-03-22,57,3895,570,489,0,23,98,0
2023-03-23,56,3888,560,483,0,23,98,0
2023-04-01,56,3852,560,486,0,20,101,0
2023-07-09,56,3899,559,486,0,20,107,0
2023-07-10,56,3890,571,488,0,20,107,0
2023-07-20,56,3904,568,487,0,21,107,0
2023-07-29,56,4012,563,453,0,22,109,0
2023-07-30,58,4027,572,472,0,22,109,0
2023-07-31,58,4054,572,472,0,22,109,0
2023-08-01,58,4049,571,472,0,21,111,0
2023-08-04,58,4073,564,475,0,23,112,0
2023-08-07,58,4063,564,474,0,21,117,0
2023-08-08,58,4068,564,474,0,21,117,0
2023-08-09,58,4062,564,472,0,21,117,0
2023-08-11,58,4055,564,472,0,20,120,0
2023-08-12,58,4060,564,473,0,20,121,0
2023-08-16,58,4088,585,481,0,20,124,0
2023-09-10,58,4084,585,481,0,22,127,0
2023-09-11,58,4105,587,484,0,22,127,0
2023-09-12,58,4107,587,484,0,21,128,0
2023-09-15,58,4107,589,484,0,21,128,0
2023-09-17,58,4126,594,485,0,23,128,0
2023-09-24,59,4158,598,485,0,18,133,0
2023-09-29,62,4278,624,502,0,20,135,0
2023-10-12,62,4300,629,504,0,20,138,0
2023-10-16,62,4321,625,505,0,19,139,0
2023-10-19,62,4353,625,505,0,20,140,0
2023-10-20,65,4322,665,524,0,19,141,0
2023-10-23,66,4343,672,529,0,21,143,0
2023-11-01,68,4481,686,538,0,22,145,0
2023-11-03,68,4464,695,550,0,20,147,0
2023-11-10,68,4470,700,554,0,22,147,0
2023-11-16,68,4491,695,558,0,20,149,0
2023-11-19,69,4600,704,553,0,19,150,0
2023-11-22,69,4608,701,552,0,22,151,0
2023-12-15,67,4586,672,537,0,20,163,0
2023-12-16,68,4665,680,546,0,20,164,0
2023-12-17,68,4678,680,549,0,23,165,0
2023-12-25,68,4785,688,551,0,22,171,0
2023-12-26,68,4809,693,555,0,24,171,0
2023-12-28,70,4937,729,582,0,24,171,0
2023-12-30,69,4949,701,568,0,24,172,0
2023-12-31,63,4661,647,537,0,26,173,0
2024-01-01,63,4637,653,536,0,27,176,0
2024-01-06,63,4697,640,543,0,27,182,0
2024-01-07,63,4706,647,546,0,30,185,0
2024-01-14,63,4722,646,544,0,35,186,0
2024-01-18,63,4702,655,544,0,30,192,0
2024-01-19,63,4724,643,545,0,30,193,0
