"id","feature","description","feature_nl","description_nl","repo","underway","effort","value","shortlist","coverage","discovery","portfolios","project","durability","tickets","note"
"level2-editor","Edit club data in a form","Your club's members and portfolios are entered using simple forms that are already largely pre-filled. You only need to check them and add any missing bits.","Clubgegevens invullen in een formulier","De leden en portfolio's van je club vul je in via eenvoudige formulieren die al grotendeels zijn voorbereid. Je hoeft ze alleen na te kijken en aan te vullen wat ontbreekt.","new","no","L","5","1","*","","","","","#833","Effort re-estimated XL to L. It is a form over a known schema: a club block plus a member array of roughly fifteen fields, with expertises drawn from the Level 0 vocabulary. That is CRUD with validation, not research. The part that can balloon is making it intuitive enough for a non-technical volunteer, but the bar to clear first is low, since anything beats hand-editing JSON. A minimum version is plausibly M. PERMANENTLY NEEDED, independent of any scavenging: expertises, birthdays, roles, typos and a member who marries and changes name are not reliably on any website, and online sources are not kept current. Best-effort pre-filled data is fine provided the editor is good enough to correct it. PLATFORM DECIDED IN PRINCIPLE: macOS SwiftUI first, web later only if needed. The decisive argument is not convenience but maintainability. He is the project's only reviewer, so a component he cannot debug or review has no reviewer at all, and it would worsen the bus factor by creating a part that survives only while an AI is available and correct. Specifying without being able to fix or review is the trap he warns others about. The Windows gap is smaller than it appears: the editor's user is the one maintainer per club or district, perhaps fifteen to ninety people nationally, not every member, so it needs one Mac per district rather than one per member. Sequence: build and maintain the macOS version; if in a couple of years a web version proves unavoidable, add it using the macOS version as an executable specification, ported by someone who does web applications with full access to the original. That port is unusually attractive contributor work, having a precise spec, a clear finished state, and no need to understand the rest of the system. To make it cheap, keep validation and JSON generation in plainly readable functions rather than inside SwiftUI views, so the port is a UI rewrite rather than archaeology. Note the scavenger stays cross-platform regardless, since it only emits JSON. Absorbs the submission step: the point is that a maintainer never touches GitHub. Interim workaround while there is no editor: the author mails the file in, which works but loses the public authorship that shows other people are involved. READER WORDING 7 Sept 2026: the previous text contrasted a form with ""a file format"" and said the app ""writes the file for you"". The intended reader has never seen that file and does not know one exists, so the contrast was with something they could not picture and the mention was faintly alarming. The replacement contrasts against effort instead, and says what is actually entered."
"claim-your-club","Claim your club","Your club is already on the map — add your members and photos without starting from scratch.","","","multiple","partly","M","4","","*","","","","","#832","Is claim-your-club software or a marketing campagne? Effort re-estimated L to M: the four scope bullets are concrete now, and without a server the button produces a message rather than a transaction; step three borrows the editor's cost rather than adding its own."
"level2-autofill","Start from your website","Point us at your club's website and get a first draft of your club's page back.","","","new","no","M","4","","*","","","","","#835","OPEN, needs thought: everything below concerns LEVEL 3 scavenging, images per photographer. LEVEL 2 scavenging, the members of a club, is a different problem and probably needed earlier, since it is what turns a listed club into a populated one and that is the twelve-of-ninety-two gap. It cannot use either technique described here. Browser instrumentation works for images because images are fetched resources that can be observed on the network; a name is not a resource and produces no event. Static parsing does not help either, because names sit in arbitrary layout as prose, lists, tables or cards, and Dutch names then have to be split into given name, infix and family name. Expertises are almost never present on club sites in any standard form. So the conclusion inverts: for Level 3 a model is optional, for Level 2 it is where one would actually earn its keep. Note also that the Fotobond holds member data, which may be a better source than any website. Scope is LEVEL 3, images per photographer. ACCEPTED CONSTRAINT: the input is one URL for one club member, so the image-to-member association is given by which page you pointed at and the matching problem disappears. Common in practice, since a portfolio page usually shows one photographer. Approach is browser instrumentation rather than parsing: a headless browser loads the page and records every response with an image content type, which collapses all page shapes into one case and is agnostic to whatever produced the images, including a backend-generated page such as WordPress. Icons and logos are filtered mechanically by size, by recurring across two pages of the same site, and by path, so a paid model connection is optional and only for the residue. STRICTLY EDIT TIME: output is JSON, so nothing at app launch or at site generation depends on it. It therefore need not be Swift, need not use the Data library and need not run on macOS; as a separate tool whose output the editor imports, it runs on Windows too. Cost is the variety of real sites, cookie overlays and scroll-triggered lazy loading, not the browser work. Dick's tool covers this ground already, using cheerio, which is static-only and takes the img src rather than the enclosing anchor's href, so it captures thumbnails. CLICK-THROUGH GALLERIES, EFFORT RECONFIRMED AT M BUT CONDITIONAL. A gallery where the next image is fetched only on a click is not covered by passive listening, since waiting reveals nothing. Three tactics, most robust first. One, sniff the manifest: most gallery generators fetch a json or xml list of every image before showing any, Juicebox config.xml being the case the iOS app already parses, so one response yields the whole set with no interaction. Two, drive the page with repeated ArrowRight presses, which most lightboxes bind, avoiding a per-site next-button selector, stopping when a press produces no new request or the first URL reappears. Three, stepwise scrolling for lazy-loaded grids, which was already inside the estimate. Together these turn one universal scraper into a dispatcher plus a few per-generator recipes plus a generic fallback, and that is what could push it to L. It stays M only on an explicit scope decision: the tool is best effort and is allowed to report that a page defeated it, rather than aiming for full coverage. That is affordable because the level2-editor exists to correct its output, and expensive to reverse later, since promising completeness makes every bespoke gallery a bug report. Cycle detection is the underrated cost, because carousels preload neighbours, wrap around, and vary URLs with cache-busting query strings. CONDITION SETTLED, M STANDS. He states the policy explicitly: handle 80 percent first, then 90, then 95, driven by what is actually encountered, since every exception involves his review of both the approach and the correctness of the outcome anyway. So best effort is the intended design, not a concession. The one design requirement that makes incremental coverage converge rather than drift is that failure must be visible. The dangerous case is not zero images, which is obvious, but plausible partial output, eight of thirty, or thumbnails passed off as full images, which is precisely Dick's bug. The tool should therefore report image count, pixel dimensions and whether a manifest was found, so his review has something to check against. POPULATION SHAPE, MEASURED 4 Sept 2026. Level 3 special cases are per site, not per URL: 212 portfolio URLs across 17 level2 files resolve to only 14 distinct hosts, because a club's members share one website and one gallery generator. A census of those 14, asking which generator and whether it publishes a manifest, is an hour of work and tells you directly how many recipes buy 80 percent. Level 2 has no such amplification: 193 club websites are 192 distinct hosts, one per club. The useful Level 2 census therefore asks a different question, not how many recipes but what fraction of club sites list their members publicly at all, since that number could settle the feasibility of Level 2 scraping outright. SHIPS IN TWO PHASES, decided 5 Sept 2026. The engine is one thing; how it reaches a club is two. PHASE 1, level2-on-request, also called level2-as-a-service: someone on our side, not necessarily Peter, runs the tool for a club that asked and sends back a draft to correct. Human in the loop, roughly a day's turnaround including weekends, which beats most commercial replies. It needs no editor, no server and no button beyond the one in claim-your-club, and the tool for it exists at scripts/scavenger/. PHASE 2, self-service: the club runs it themselves from inside the level2-editor and never waits for anybody. That is the version that scales, and it depends on #833. The phases are not separate rows. The effort column measures build time and phase 1 has almost none left, while its real cost is per club and recurring, which this column cannot express. Worth revisiting only if testers should be asked to choose between being served and serving themselves, which is a genuine question but not one an effort figure can carry. RENAMED from level2-autofill on 5 Sept 2026: the old name said how it worked, the new one says what you get, and it survives the source changing, since autofill may later come from the federation's own data rather than from a website."
"upcoming-exhibitions","Exhibitions near you","See which club exhibitions are coming near you soon. So you never miss one that you wanted to attend.","Exposities bij jou in de buurt","Zie welke clubexposities binnenkort bij jou in de buurt zijn, zodat je er nooit een mist die je wilde bezoeken.","multiple","no","S","4","1","","","","*","","#834","PICKED as one of the first things to build (4 Sept 2026). Three reasons beyond the rating: supporters do not see the value when it is described, because they judge it as attendees while the value is to club officers, and a two-day build replaces the explanation with a demonstration; it reads well in release notes where infrastructure work does not; and shipping something visible creates an occasion to talk to people, which is scarce now that the federation magazine is closed to this. The only row aimed at club officers rather than at viewers or maintainers, which matters because officers decide whether a club takes part. A club runs one or two exhibitions a year, spends real money on each, and spends the preceding month pushing them through mailing lists, its own website, regional newsletters, posters and the local paper. A new distribution channel for that is worth something to them even if the app did nothing else. Demand is proven: a paid Dutch listing service charges an annual fee for roughly this, and at least one club already in our data subscribes. The structural advantage is that a listing site has to be remembered and visited, whereas every club here already has coordinates, so proximity and a home-screen reminder are natural. Organisers are not only clubs: galleries and museums run exhibitions too, so an exhibition belongs to an organization rather than to a club. The model already allows that — OrganizationType is club/museum/unknown — so a gallery is one more case, not a new concept. Worth noting this finally gives the 42 museums already in the data a purpose: they have no members and no photographs, which is why nobody would miss them today, but holding exhibitions is precisely what they do. Open question: who supplies exhibition data for an organisation that will never maintain a Level 2 file. Effort re-estimated XL to S on a written spec. Level 2 files gain a third block beside club and members, which is backwards compatible in both directions because the reader already branches on jsonRoot[...].exists(). An Exposition entity with a one-to-many link from Organization, so museums get it at no extra cost. Fields: organization, start and end date, and a poster URL shown as a plain link that opens externally, exactly like the club, photographer and Wikipedia links already on those cards. Shown as an animated marker plus next-exhibition text on the map card. Phase two adds Settings filters for distance and time horizon. The earlier XL was costing a widget, notifications and a whole new JSON level, none of which is in this spec; those are now a separate row. DECIDED: start and end date, both day granularity, no times. Club exhibitions usually run one or two days and the dates are always on the poster, but not machine readably; a museum or gallery exhibition runs for weeks, and museums come free through the Organization relationship, so a start-only model would fail exactly where duration matters most. It is also a published field in a package other software may consume, so it is modelled for the domain rather than for the current screen. Two useful side effects: nobody travels to something that closed yesterday, and records expire by themselves rather than needing the pruning Data#39 exists for. STILL OPEN: do not let the poster carry the address and time alone, since both club-hosted URLs in the data return 404 today. LAYOUT: the map card is already four blocks deep and MapsViewInfo is crowded, so the preferred placement is for the exhibition line to displace MapsViewRemark while it runs; permanent context gives way to time-critical content at no net height, and the remark returns afterwards. Note that notifications for these belong with follow-people rather than here: following someone is what makes an alert wanted rather than an interruption. READER WORDING 7 Sept 2026: the previous text ended ""with a reminder on your home screen"", which is exhibition-widget rather than this row, so it offered a reader something they could not vote for. SCOPE NOTE for that widget when it comes: it need not be limited to exhibitions. It could equally show new photographs from the people you follow, which makes it a surface for follow-people rather than a feature belonging to exhibitions alone. THE EXHIBITION AUDIENCE IS THE APP'S AUDIENCE. A club of roughly twenty-five members keeps an exhibition mailing list of about four hundred people, and two clubs measured this way are similar. The lists overlap, so they do not simply add up. Composition, estimated from years of maintaining one by hand rather than from any statistic: about half are members of nearby clubs, about a third are friends and relatives, and the rest are people who go to exhibitions the way others go to concerts or museums. WHY IT MATTERS HERE, and it is the only reason it matters: that mixture is exactly who this app is for. The app is an online exhibition of sorts, so the people who already turn up to look at photographs are its natural audience, whether they are photographers from the next town or an aunt in Australia who will never attend anything in person. THE LISTS THEMSELVES ARE OUT OF SCOPE and should stay that way, for privacy reasons among others. They are also not shareable in practice: much of a list is one club's own orbit, so it would not transfer even if everyone were willing. Which is precisely the gap this row fills, since an app can carry ""what is on near me"" for everybody without anyone handing over an address. SHARES A PLATFORM WITH THE OTHER EXHIBITION ROW, and that is supply-side knowledge which must not leak into the question. To a reader these are two different products with different benefits: a coming exhibition is notification-shaped, do not miss it, while a past one is catalogue-shaped, browse the whole show the way a museum sells you the book, except free if the club takes part. Someone can reasonably want either, both or neither, so both are asked. BEHIND THEM IS ONE MECHANISM: one Exhibition entity holding two dates, one JSON block, one list, and the only difference is which end of the date range you are reading and whether a poster or a gallery is rendered. So the cost is not additive. Roughly three to four weeks covers both, and whichever ships first makes the second nearly free. The effort column cannot say that, since it prices each row as if ordered alone, which is the same limitation that left the level2-on-request service without an honest figure. READING A SPLIT RESULT: if one scores five and the other ten, that is not an argument for building only the second. It is an argument about which to lead with, since the other follows for almost nothing. ONE TICKET FOR BOTH HALVES: #834, shared with past-exhibitions. Two rows here because they are two propositions to a reader; one ticket there because spec and implementation cannot usefully be split. The demand side and the supply side do not have to agree on how many things this is."
"exhibition-widget","A widget for exhibitions opening nearby","You may get a widget on your home screen showing exhibitions about to open near you, rather than having to go and look.","","","iOS","no","L","1","","","","","*","","#46","Split out of upcoming-exhibitions, which is where the XL estimate came from. This is the expensive half: a WidgetKit extension with a timeline provider, deep linking back into the app, and notification permissions and scheduling. Depends on the exhibition data existing first, so it cannot be scheduled before that row. RENAMED 4 Sept 2026 to put 'widget' in the id and the title. The previous title was too close to a listing of exhibitions near you, which could itself carry notifications, and the two are different features. Worth keeping in view while naming these: a widget on the home screen and a notification that arrives unasked are both things an app can do and a website cannot easily do at all, which makes them part of the answer to why this is an app rather than a web page. DEPENDS ON follow-people. A widget without a follow list shows more or less random exhibitions, which is the low-value version. With one it is nearly free, being a read-only view of data already held. Do not make distance a hard filter: see follow-people on followers who live far away and still care."
"easy-to-contribute","A project others can join","Enough written down — a glossary, a schema, an explained architecture — that a second person can help.","","","Data","partly","L","2","","","","","","*","Data#22, Data#48, Data#49, Data#13","NEW"
"level1-editor","Edit club list in a form","Clubs in a region are entered using simple forms that are already largely pre-filled. You only need to check them and add any missing bits.","De clublijst invullen in een formulier","De clubs in een regio vul je in via eenvoudige formulieren die al grotendeels zijn voorbereid. Je hoeft ze alleen na te kijken en aan te vullen wat ontbreekt.","new","no","M","2","1","*","","","","","","Explicitly lower priority than the Level 2 editor: Level 1 holds only clubs, the data is small and can be entered by hand. Effort assumes the level2-editor already exists Effort re-estimated L to M: its own note assumes the level2-editor already exists, so the marginal work is a second schema in an existing tool. READER WORDING 7 Sept 2026, matching level2-editor. The missing bits here are specifically the remark field and any non-Fotobond clubs, which the seeded list will not contain."
"club-hosts-own-data","Clubs keep their own data","A club keeps its member list on its own website, and the app picks up every change.","","","Data","partly","S","1","","*","","","","","Data#9","Alternative to hosting data files on GitHub Effort re-estimated M to S: the plumbing already exists: the URL is parsed, stored and exposed through a guarded property. What is missing is the reader using it instead of composing a path."
"live-validation","Mistakes caught as you type","Editing club data warns you about a misspelled expertise or a missing field while you type.","","","Data","no","M","4","","*","","","","","Data#30","Presumably an extension of the level2-editor"
"broken-file-warning","Say when a file is broken","A club whose data file has an error is reported, instead of quietly appearing empty.","","","iOS","no","M","3","","*","","","","","#795",""
